name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery,qa_flags,qa_recommendation,inventory_source_file
The Court of Saint James- 55+ Active Adult Community,courtofsaintjames@gmail.com,+1 860-561-4610,http://www.courtofsaintjames.com/,"144 S Main St, West Hartford, CT 06107",West Hartford,Connecticut,Retirement community,4.7,9,,https://search.google.com/local/reviews?placeid=ChIJn_EsI-Ws54kRrJgubmE1UqQ&q=*&authuser=0&hl=en&gl=US,,,ai,"senior living, Connecticut, USA",personal_email_domain,review_before_live,tmp-reach-ai-2026-05-20-next-qa.csv
Charter Senior Living of Woodbridge,ed@charterofchattanooga.com,+1 203-242-0719,https://charterofwoodbridge.com/%3Futm_source%3Dlocal_listing%26utm_medium%3Dorganic%26utm_id%3DGBP,"330 Amity Rd, Woodbridge, CT 06525",Woodbridge,Connecticut,Assisted living facility,4.7,47,,https://search.google.com/local/reviews?placeid=ChIJZeAg3FPZ54kRnyF0GEVdIfQ&q=*&authuser=0&hl=en&gl=US,,,ai,"senior living, Connecticut, USA",,ok,tmp-reach-ai-2026-05-20-next-qa.csv
Meadow Ridge,carolyn@ruckusmediagroup.com,+1 203-803-2139,https://www.meadowridge.com/%3Futm_medium%3Dorganic%26utm_source%3Dgoogle%26utm_campaign%3Dbusiness%2Bprofile%2Bfy26,"100 Redding Rd, Redding, CT 06896",Redding,Connecticut,Retirement community,4.9,273,,https://search.google.com/local/reviews?placeid=ChIJYYQTYIcB6IkRoDxhN0YTa2I&q=*&authuser=0&hl=en&gl=US,,,ai,"senior living, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-ai-2026-05-20-next-qa.csv
Meadow Ridge,westies2001@yahoo.com,+1 203-803-2139,https://www.meadowridge.com/%3Futm_medium%3Dorganic%26utm_source%3Dgoogle%26utm_campaign%3Dbusiness%2Bprofile%2Bfy26,"100 Redding Rd, Redding, CT 06896",Redding,Connecticut,Retirement community,4.9,273,,https://search.google.com/local/reviews?placeid=ChIJYYQTYIcB6IkRoDxhN0YTa2I&q=*&authuser=0&hl=en&gl=US,,,ai,"senior living, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live,tmp-reach-ai-2026-05-20-next-qa.csv
River Valley Retirement Community,kimberley.clardy@gmail.com,+1 203-683-6460,https://rlcommunities.com/communities/connecticut/river-valley-retirement/,"101 Oakview Dr, Trumbull, CT 06611",Trumbull,Connecticut,Retirement community,5,13,,https://search.google.com/local/reviews?placeid=ChIJ-7_dgUoJ6IkRoXjpeUgVUs0&q=*&authuser=0&hl=en&gl=US,,,ai,"senior living, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live,tmp-reach-ai-2026-05-20-next-qa.csv
River Valley Retirement Community,andrea.peacock@holidaytouch.com,+1 203-683-6460,https://rlcommunities.com/communities/connecticut/river-valley-retirement/,"101 Oakview Dr, Trumbull, CT 06611",Trumbull,Connecticut,Retirement community,5,13,,https://search.google.com/local/reviews?placeid=ChIJ-7_dgUoJ6IkRoXjpeUgVUs0&q=*&authuser=0&hl=en&gl=US,,,ai,"senior living, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-ai-2026-05-20-next-qa.csv
Brighton Gardens of Stamford,bellevue.boc@sunriseseniorliving.com,+1 203-322-2100,https://www.sunriseseniorliving.com/communities/ct/brighton-gardens-of-stamford%3Futm_source%3Ddirectory_listings%26utm_medium%3Dclicks%26utm_campaign%3Dgoogle,"59 Roxbury Rd, Stamford, CT 06902",Stamford,Connecticut,Assisted living facility,4.9,31,,https://search.google.com/local/reviews?placeid=ChIJdxDmWtWjwokRJGWBTk5AeFg&q=*&authuser=0&hl=en&gl=US,,,ai,"senior living, Connecticut, USA",,ok,tmp-reach-warmup-ai-2026-05-20-a1-qa.csv
Farmington Station Senior Living,llarkin@slr-usa.com,+1 860-284-0505,https://www.seniorlivingresidences.com/communities/farmington-station/,"111 Scott Swamp Rd, Farmington, CT 06032",Farmington,Connecticut,Assisted living facility,4.6,24,,https://search.google.com/local/reviews?placeid=ChIJgT1DAjaw54kRBP7wXl19aWE&q=*&authuser=0&hl=en&gl=US,,,ai,"senior living, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a1-qa.csv
Farmington Station Senior Living,nheimrath@slr-usa.com,+1 860-284-0505,https://www.seniorlivingresidences.com/communities/farmington-station/,"111 Scott Swamp Rd, Farmington, CT 06032",Farmington,Connecticut,Assisted living facility,4.6,24,,https://search.google.com/local/reviews?placeid=ChIJgT1DAjaw54kRBP7wXl19aWE&q=*&authuser=0&hl=en&gl=US,,,ai,"senior living, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a1-qa.csv
The Residence at Selleck's Woods,llepage@lcbseniorliving.com,+1 475-328-1215,https://www.lcbseniorliving.com/communities/residence-at-sellecks-woods/,"1 Parklands Dr, Darien, CT 06820",Darien,Connecticut,Assisted living facility,4.8,40,,https://search.google.com/local/reviews?placeid=ChIJ76lZ1Sge6IkRm0539EPNPTE&q=*&authuser=0&hl=en&gl=US,,,ai,"senior living, Connecticut, USA",,ok,tmp-reach-warmup-ai-2026-05-20-a1-qa.csv
Evergreen Woods,andreabeth913@hotmail.com,+1 203-488-8000,https://evergreen-woods.com/,"88 Notch Hill Rd, North Branford, CT 06471",North Branford,Connecticut,Assisted living facility,4.8,208,,https://search.google.com/local/reviews?placeid=ChIJNe02-4bU54kRI9eOeGKrbJ8&q=*&authuser=0&hl=en&gl=US,,,ai,"assisted living, Connecticut, USA",personal_email_domain,review_before_live,tmp-reach-warmup-ai-2026-05-20-a2-qa.csv
Charter Senior Living of Woodbridge,ed@charterofwoodbridge.com,+1 203-242-0719,https://charterofwoodbridge.com/%3Futm_source%3Dlocal_listing%26utm_medium%3Dorganic%26utm_id%3DGBP,"330 Amity Rd, Woodbridge, CT 06525",Woodbridge,Connecticut,Assisted living facility,4.7,47,,https://search.google.com/local/reviews?placeid=ChIJZeAg3FPZ54kRnyF0GEVdIfQ&q=*&authuser=0&hl=en&gl=US,,,ai,"assisted living, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a2-qa.csv
River Ridge at Avon,mespeed@yahoo.com,+1 860-281-2793,https://www.benchmarkseniorliving.com/senior-living/ct/avon/river-ridge-at-avon/%3Futm_source%3Dgoogle%26utm_medium%3Dlocal-listings%26utm_campaign%3Dcomm-rra,"101 Bickford Extension, Avon, CT 06001",Avon,Connecticut,Assisted living facility,4.7,30,,https://search.google.com/local/reviews?placeid=ChIJE4KuWSOp54kREvUradWRHTw&q=*&authuser=0&hl=en&gl=US,,,ai,"assisted living, Connecticut, USA",personal_email_domain,review_before_live,tmp-reach-warmup-ai-2026-05-20-a2-qa.csv
Maplewood at Newtown,gmayeran@maplewoodsl.com,+1 203-896-4309,https://www.maplewoodseniorliving.com/newtown/%3Futm_source%3DGMB%26utm_medium%3Dorganic,"166 Mt Pleasant Rd, Newtown, CT 06470",Newtown,Connecticut,Assisted living facility,4.6,82,,https://search.google.com/local/reviews?placeid=ChIJk0I4z_3754kROTKHJNCv22o&q=*&authuser=0&hl=en&gl=US,,,ai,"assisted living, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a2-qa.csv
Maplewood at Newtown,mteague@maplewoodsl.com,+1 203-896-4309,https://www.maplewoodseniorliving.com/newtown/%3Futm_source%3DGMB%26utm_medium%3Dorganic,"166 Mt Pleasant Rd, Newtown, CT 06470",Newtown,Connecticut,Assisted living facility,4.6,82,,https://search.google.com/local/reviews?placeid=ChIJk0I4z_3754kROTKHJNCv22o&q=*&authuser=0&hl=en&gl=US,,,ai,"assisted living, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a2-qa.csv
Maplewood at Newtown,katianne.rosbrough@gmail.com,+1 203-896-4309,https://www.maplewoodseniorliving.com/newtown/%3Futm_source%3DGMB%26utm_medium%3Dorganic,"166 Mt Pleasant Rd, Newtown, CT 06470",Newtown,Connecticut,Assisted living facility,4.6,82,,https://search.google.com/local/reviews?placeid=ChIJk0I4z_3754kROTKHJNCv22o&q=*&authuser=0&hl=en&gl=US,,,ai,"assisted living, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a2-qa.csv
Milford Med Spa,frontdesk@holistichealingpartners.com,+1 203-701-6161,http://milfordmedspa.com/,"99 Cherry St Suite F, Milford, CT 06460",Milford,Connecticut,Medical spa,4.9,373,,https://search.google.com/local/reviews?placeid=ChIJa41x81Z16IkRUNRPJwnGBJY&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",,ok,tmp-reach-warmup-ai-2026-05-20-a3-qa.csv
Pure Skin MedSpa,jenna@ctskin.com,+1 860-854-4445,https://www.ctskin.com/newpaged154add3,"31 Liberty St Suite 110, Southington, CT 06489",Southington,Connecticut,Medical spa,4.9,840,,https://search.google.com/local/reviews?placeid=ChIJP-JlkJe354kRef6ZZzbEZh4&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a3-qa.csv
Pure Skin MedSpa,info@ctskin.com,+1 860-854-4445,https://www.ctskin.com/newpaged154add3,"31 Liberty St Suite 110, Southington, CT 06489",Southington,Connecticut,Medical spa,4.9,840,,https://search.google.com/local/reviews?placeid=ChIJP-JlkJe354kRef6ZZzbEZh4&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a3-qa.csv
Pure Skin MedSpa,jennifer@ctskin.com,+1 860-854-4445,https://www.ctskin.com/newpaged154add3,"31 Liberty St Suite 110, Southington, CT 06489",Southington,Connecticut,Medical spa,4.9,840,,https://search.google.com/local/reviews?placeid=ChIJP-JlkJe354kRef6ZZzbEZh4&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a3-qa.csv
Samara MedSpa Avon,info@samaramedspa.com,+1 860-996-4096,https://samaramedspa.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"380 W Main St, Avon, CT 06001",Avon,Connecticut,Medical spa,4.8,390,,https://search.google.com/local/reviews?placeid=ChIJk-BzR5Cv54kR7Z17Hetyy7Q&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a3-qa.csv
Samara MedSpa Avon,christian@samaramedspa.com,+1 860-996-4096,https://samaramedspa.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"380 W Main St, Avon, CT 06001",Avon,Connecticut,Medical spa,4.8,390,,https://search.google.com/local/reviews?placeid=ChIJk-BzR5Cv54kR7Z17Hetyy7Q&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a3-qa.csv
Blush Med Spa,blushmedspact@gmail.com,+1 860-430-4387,http://blushmedspact.com/,"100 Sycamore St Suite 1, top floor, Glastonbury, CT 06033",Glastonbury,Connecticut,Medical spa,4.8,255,,https://search.google.com/local/reviews?placeid=ChIJ0xVZsGdR5okR_h3nvAEhEYQ&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",personal_email_domain,review_before_live,tmp-reach-warmup-ai-2026-05-20-a3-qa.csv
The Bella Medical Spa,thebellamedicalspa@gmail.com,+1 475-269-5555,https://thebellamedicalspa.com/,"494 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Medical spa,4.8,41,,https://search.google.com/local/reviews?placeid=ChIJr5FNegcL6IkRobu-0A1f1CY&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",personal_email_domain,review_before_live,tmp-reach-warmup-ai-2026-05-20-a3-qa.csv
Greenwich Medical Spa at Glastonbury,yourskinspecialist@greenwichmedicalspa.com,+1 860-368-0140,https://www.greenwichmedicalspa.com/contact-us-glastonbury/,"140 Glastonbury Blvd #24, Glastonbury, CT 06033",Glastonbury,Connecticut,Medical spa,4.8,272,,https://search.google.com/local/reviews?placeid=ChIJw_SfUilS5okRxhh4xPhHUOI&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a3-qa.csv
Greenwich Medical Spa at Glastonbury,greenwichmedicalmassage@gmail.com,+1 860-368-0140,https://www.greenwichmedicalspa.com/contact-us-glastonbury/,"140 Glastonbury Blvd #24, Glastonbury, CT 06033",Glastonbury,Connecticut,Medical spa,4.8,272,,https://search.google.com/local/reviews?placeid=ChIJw_SfUilS5okRxhh4xPhHUOI&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a3-qa.csv
Dolce Vida Medical Spa,callahanscott@msn.com,+1 203-513-8457,https://www.dolcevidamedspa.com/,"635 Danbury Rd, Ridgefield, CT 06877",Ridgefield,Connecticut,Medical spa,5,38,,https://search.google.com/local/reviews?placeid=ChIJh7esOourwokR2S9ybdTPfFk&q=*&authuser=0&hl=en&gl=US,,,ai,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live,tmp-reach-warmup-ai-2026-05-20-a3-qa.csv
