name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery
"Advance Plumbing & Heating, Inc.",azplumbers@aol.com,+1 860-232-3053,https://www.advanceplumbingheating.com/,"700 N Mountain Rd, Newington, CT 06111",Newington,Connecticut,Plumber,4.8,680,,https://search.google.com/local/reviews?placeid=ChIJs28uEjat54kRPLczkTId6s4&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
bluefrog Plumbing + Drain of Central Connecticut,ncfazzinoplumbing@gmail.com,+1 203-937-2772,https://www.bluefrogplumbingcentralct.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"121 N Plains Industrial Rd Unit R, Wallingford, CT 06492",Wallingford,Connecticut,Plumber,4.8,542,,https://search.google.com/local/reviews?placeid=ChIJh814gXLJ54kR6u3Rowl263I&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
bluefrog Plumbing + Drain of Central Connecticut,csr@bfplumbingct.com,+1 203-937-2772,https://www.bluefrogplumbingcentralct.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"121 N Plains Industrial Rd Unit R, Wallingford, CT 06492",Wallingford,Connecticut,Plumber,4.8,542,,https://search.google.com/local/reviews?placeid=ChIJh814gXLJ54kR6u3Rowl263I&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Mr. Rooter Plumbing of South Central Connecticut,m.b@mrrootersea.com,+1 203-516-7899,https://www.mrrooter.com/new-haven/%3Fcid%3DLSTL_MRR000199%26utm_source%3Dgmb%26utm_campaign%3Dlocal%26utm_medium%3Dorganic,"101 Fowler Rd, North Branford, CT 06471",North Branford,Connecticut,Plumber,4.9,811,,https://search.google.com/local/reviews?placeid=ChIJ1fi8NLXT54kR_VmCyzvx5V0&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Mr. Rooter Plumbing of South Central Connecticut,p.d@sparaco.com,+1 203-516-7899,https://www.mrrooter.com/new-haven/%3Fcid%3DLSTL_MRR000199%26utm_source%3Dgmb%26utm_campaign%3Dlocal%26utm_medium%3Dorganic,"101 Fowler Rd, North Branford, CT 06471",North Branford,Connecticut,Plumber,4.9,811,,https://search.google.com/local/reviews?placeid=ChIJ1fi8NLXT54kR_VmCyzvx5V0&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Mr. Rooter Plumbing of South Central Connecticut,carmenita.jack@mrrootersea.com,+1 203-516-7899,https://www.mrrooter.com/new-haven/%3Fcid%3DLSTL_MRR000199%26utm_source%3Dgmb%26utm_campaign%3Dlocal%26utm_medium%3Dorganic,"101 Fowler Rd, North Branford, CT 06471",North Branford,Connecticut,Plumber,4.9,811,,https://search.google.com/local/reviews?placeid=ChIJ1fi8NLXT54kR_VmCyzvx5V0&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Onze Southern Connecticut Plumbing & Heating,office@onzescph.com,+1 203-693-8267,https://southernctplumbingheating.com/residential-plumbing/%3Futm_campaign%3Dgmb,"77 Warfield St, Milford, CT 06461",Milford,Connecticut,Plumber,5,122,,https://search.google.com/local/reviews?placeid=ChIJy0SPqSh16IkRffEPcIhsI28&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Vanguard Plumbing Solutions LLC,hello@rfuenzalida.com,+1 860-266-5370,http://vanguardplumbingsolutions.com/,"491 Bantam Rd # C, Litchfield, CT 06759",Litchfield,Connecticut,Plumber,4.9,176,,https://search.google.com/local/reviews?placeid=ChIJ0-P1ApDQKEIR1km4f6Vl1z4&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Vanguard Plumbing Solutions LLC,matt@pixelspread.com,+1 860-266-5370,http://vanguardplumbingsolutions.com/,"491 Bantam Rd # C, Litchfield, CT 06759",Litchfield,Connecticut,Plumber,4.9,176,,https://search.google.com/local/reviews?placeid=ChIJ0-P1ApDQKEIR1km4f6Vl1z4&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Vanguard Plumbing Solutions LLC,tim@vanguardplumbingsolutions.com,+1 860-266-5370,http://vanguardplumbingsolutions.com/,"491 Bantam Rd # C, Litchfield, CT 06759",Litchfield,Connecticut,Plumber,4.9,176,,https://search.google.com/local/reviews?placeid=ChIJ0-P1ApDQKEIR1km4f6Vl1z4&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
